,Title,Author,Average Rating,First Published,Top 3 Genres,Cluster
807,Dubliners,James Joyce,3.84,1914.0,"Classics, Fiction, Short Stories",2
808,"Savage Bonds (The Bonds That Tie, #2)",J. Bree,4.25,2021.0,"Fantasy, Reverse Harem, Romance",2
809,Hitman Anders and the Meaning of It All,Jonas Jonasson,3.42,2015.0,"Fiction, Humor, Contemporary",2
810,"Ral's Woman (Zorn Warriors, #1)",Laurann Dohner,3.82,2009.0,"Romance, Science Fiction, Aliens",2
811,Complete Works of Arthur Conan Doyle,Arthur Conan Doyle,4.49,1928.0,"Classics, Fiction, Mystery",2
812,"Spark of the Everflame (Kindred's Curse, #1)",Penn Cole,4.2,2023.0,"Fantasy, Romantasy, Romance",2
813,"Pride and Prejudice, Mansfield Park, Persuasion",Jane Austen,4.51,1976.0,"Classics, Fiction, Romance",2
814,The Innocent Man: Murder and Injustice in a Small Town,John Grisham,3.86,2006.0,"Nonfiction, True Crime, Crime",2
815,Stardust,Neil Gaiman,4.1,1999.0,"Fantasy, Fiction, Young Adult",2
816,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,3.67,2011.0,"Fiction, BDSM, Contemporary",2
817,"Eon (The Way, #1)",Greg Bear,3.88,1985.0,"Science Fiction, Fiction, Space Opera",2
818,As I Lay Dying,William Faulkner,3.72,1930.0,"Classics, Fiction, Literature",2
819,A Passage to India,E.M. Forster,3.68,1924.0,"Fiction, Historical Fiction, Classics",2
820,Seabiscuit: An American Legend,Laura Hillenbrand,4.23,1999.0,"Nonfiction, History, Biography",0
821,"My Roommate Is a Vampire (My Vampires, #1)",Jenna Levine,3.47,2023.0,"Fantasy, Vampires, Paranormal",2
822,Starter Villain,John Scalzi,4.14,2023.0,"Science Fiction, Fiction, Fantasy",2
823,"Every Heart a Doorway (Wayward Children, #1)",Seanan McGuire,3.81,2016.0,"Fantasy, Young Adult, Fiction",2
824,The Ocean at the End of the Lane,Neil Gaiman,4.02,2013.0,"Fantasy, Fiction, Magical Realism",2
825,"The Selection (The Selection, #1)",Kiera Cass,4.07,2012.0,"Romance, Young Adult, Dystopia",2
826,Black Fire,William Kely McClung,4.3,2023.0,"Thriller, Fiction, Mystery",2
827,"The Undertaking of Hart and Mercy (Hart and Mercy, #1)",Megan Bannen,4.07,2022.0,"Fantasy, Romance, Fiction",2
828,Quantum Energetics and Spirituality Volume 1: Aligning with Universal Consciousness,Kenneth Schmitt,4.38,2021.0,"Novels, Contemporary, Drama",2
829,"Uglies (Uglies, #1)",Scott Westerfeld,3.85,2005.0,"Young Adult, Dystopia, Science Fiction",2
830,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,4.31,2010.0,"Fantasy, Young Adult, Romance",2
831,"The Alienist (Dr. Laszlo Kreizler, #1)",Caleb Carr,4.06,1994.0,"Historical Fiction, Mystery, Fiction",2
832,Under the Whispering Door,T.J. Klune,4.13,2021.0,"Fantasy, Fiction, Romance",2
833,Galatea,Madeline Miller,3.93,2013.0,"Mythology, Fantasy, Short Stories",2
834,"The Somerset Slayings (DI Haig Crime Thrillers, #1)",David J. Gatward,4.34,2024.0,"Police, Crime, Young Adult",2
835,Ficciones,Jorge Luis Borges,4.41,1944.0,"Fiction, Short Stories, Magical Realism",2
836,The Sixth Borough,Alan    Bradley,4.43,2024.0,"Novels, Contemporary, Drama",2
837,Whisk Of Dust: Too Unseen Distance,Sherman Kennon,4.37,2024.0,"Drama, Contemporary, Novels",2
838,Adoption Stories,Janine Myung Ja,4.34,2021.0,"Adoption, Nonfiction, Parenting",3
839,The Education of Little Tree,Forrest Carter,4.14,1976.0,"Fiction, Historical Fiction, Young Adult",2
840,The Heart of Aleppo: A Story of the Syrian Civil War,Ammar Habib,4.4,2018.0,"Historical Fiction, Young Adult, Fiction",2
841,The Satsuma Complex,Bob Mortimer,3.68,2022.0,"Fiction, Mystery, Audiobook",2
842,Mind's Eye,Douglas E. Richards,4.07,2014.0,"Science Fiction, Fiction, Thriller",2
843,Games of Command,Linnea Sinclair,4.04,2002.0,"Romance, Science Fiction, Science Fiction Romance",2
844,Wraith (The Convergence War Book 1),M.R. Forbes,4.28,2024.0,"Science Fiction, Speculative Fiction, Space Opera",2
845,A New Earth: Awakening to Your Life's Purpose,Eckhart Tolle,4.16,2005.0,"Spirituality, Nonfiction, Self Help",2
846,"Blood Meridian, or, the Evening Redness in the West",Cormac McCarthy,4.16,1985.0,"Fiction, Historical Fiction, Westerns",2
847,"Susan, You're The Chosen One (Welcome To Midlife Magic, #1)",Lauretta Hignett,4.32,2024.0,"Fantasy, Fiction, Teen",2
848,The Demon-Haunted World: Science as a Candle in the Dark,Carl Sagan,4.29,1995.0,"Science, Nonfiction, Philosophy",2
849,"The MacKinnon's Bride (The Highland Brides, #1)",Tanya Anne Crosby,3.99,1996.0,"Romance, Historical Romance, Historical",2
850,"The Worst Ship in the Fleet (Dumb Luck and Dead Heroes, #1)",Skyler Ramirez,4.05,2023.0,"Science Fiction, Fiction, Space Opera",2
851,"The Long Way to a Small, Angry Planet (Wayfarers, #1)",Becky  Chambers,4.18,2014.0,"Science Fiction, Fiction, LGBT",2
852,"The Last Unicorn (The Last Unicorn, #1)",Peter S. Beagle,4.16,1968.0,"Fantasy, Fiction, Young Adult",2
853,From Manchester to the Arctic,Sheena  Billett,4.3,2023.0,"Novels, Young Adult, Action",2
854,"The Empress: (The Emperor, The Son and The Thief, #4)",Robert         Reid,4.41,2024.0,"Novels, Contemporary, Drama",2
855,"Oryx and Crake (MaddAddam, #1)",Margaret Atwood,4.01,2003.0,"Fiction, Science Fiction, Dystopia",2
856,Le Morte d'Arthur: King Arthur and the Legends of the Round Table,Thomas Malory,3.92,1485.0,"Classics, Fantasy, Fiction",2
857,And the Mountains Echoed,Khaled Hosseini,4.08,2012.0,"Fiction, Historical Fiction, Contemporary",2
858,Just Once,Karen Kingsbury,4.41,2023.0,"Historical Fiction, Romance, Fiction",2
859,Cutting for Stone,Abraham   Verghese,4.33,2009.0,"Fiction, Historical Fiction, Africa",2
860,"Crank Palace (The Maze Runner, #3.5)",James Dashner,4.09,2020.0,"Dystopia, Young Adult, Science Fiction",2
861,"The Color of Magic (Discworld, #1; Rincewind, #1)",Terry Pratchett,4.0,1983.0,"Fantasy, Fiction, Humor",2
862,Little Women / Little Men / Jo's Boys,Louisa May Alcott,4.36,1868.0,"Classics, Fiction, Literature",2
863,A Million Little Pieces,James Frey,3.69,2003.0,"Fiction, Contemporary, Psychology",2
864,James,Percival Everett,4.51,2024.0,"Fiction, Historical Fiction, Audiobook",2
865,"Small Gods (Discworld, #13)",Terry Pratchett,4.32,1992.0,"Fantasy, Fiction, Humor",2
866,The Patient's Secret,Loreth Anne White,4.27,2022.0,"Thriller, Mystery, Mystery Thriller",2
867,All the President’s Men,Carl Bernstein,4.18,1974.0,"History, Nonfiction, Politics",0
868,The Shock Doctrine: The Rise of Disaster Capitalism,Naomi Klein,4.28,2007.0,"Nonfiction, Politics, Economics",0
869,The Dispossessed: An Ambiguous Utopia,Ursula K. Le Guin,4.25,1974.0,"Science Fiction, Fiction, Fantasy",2
870,The Nightingale,Kristin Hannah,4.64,2015.0,"Historical Fiction, Fiction, Historical",2
871,"Rich Dad, Poor Dad",Robert T. Kiyosaki,4.11,1997.0,"Finance, Business, Nonfiction",2
872,"Mickey7 (Mickey7, #1)",Edward Ashton,3.78,2022.0,"Science Fiction, Fiction, Audiobook",2
873,"Girl, Interrupted",Susanna Kaysen,3.94,1993.0,"Nonfiction, Memoir, Mental Health",0
874,The Virgin Suicides,Jeffrey Eugenides,3.79,1993.0,"Fiction, Young Adult, Literary Fiction",2
875,"The Hunt for Red October (Jack Ryan, #3)",Tom Clancy,4.11,1984.0,"Fiction, Thriller, Military Fiction",2
876,If on a Winter’s Night a Traveler,Italo Calvino,4.02,1979.0,"Fiction, Classics, Italian Literature",2
877,The Prophet and the Idiot,Jonas Jonasson,3.64,2022.0,"Fiction, Humor, Comedy",2
878,"The Lost Symbol (Robert Langdon, #3)",Dan    Brown,3.76,2009.0,"Fiction, Mystery, Thriller",2
879,"Light Bringer (Red Rising Saga, #6)",Pierce Brown,4.75,2023.0,"Science Fiction, Fantasy, Fiction",2
880,Down and Out in Paris and London,George Orwell,4.09,1933.0,"Nonfiction, Classics, Memoir",0
881,A Town Like Alice,Nevil Shute,4.15,1950.0,"Fiction, Historical Fiction, Classics",2
882,"Columbus Day (Expeditionary Force, #1)",Craig Alanson,4.26,2016.0,"Science Fiction, Audiobook, Fiction",2
883,"On Death and Dying: What the Dying Have to Teach Doctors, Nurses, Clergy and Their Own Families",Elisabeth Kübler-Ross,4.16,1969.0,"Psychology, Nonfiction, Death",2
884,The Fall,Albert Camus,4.04,1956.0,"Fiction, Philosophy, France",2
885,Termination Shock,Neal Stephenson,3.84,2021.0,"Science Fiction, Fiction, Audiobook",2
886,"Riley Thorn and the Dead Guy Next Door (Riley Thorn, #1)",Lucy Score,4.17,2020.0,"Romance, Mystery, Paranormal",2
887,Brideshead Revisited,Evelyn Waugh,4.0,1945.0,"Fiction, Historical Fiction, Classics",2
888,"Left Behind (Left Behind, #1)",Tim LaHaye,3.86,1995.0,"Fiction, Christian, Christian Fiction",2
889,"The Cheat Code (Wisdom Revolution, #3)",Misba,4.74,2023.0,"Fantasy, Science Fiction, Science Fiction Fantasy",2
890,"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,4.27,2009.0,"Fantasy, Young Adult, Romance",2
891,"Wayside School Is Falling Down (Wayside School, #2)",Louis Sachar,4.17,1989.0,"Childrens, Fiction, Humor",2
892,Long Walk to Freedom,Nelson Mandela,4.36,1994.0,"Biography, Nonfiction, History",0
893,High Fidelity,Nick Hornby,3.9,1995.0,"Fiction, Music, Contemporary",2
894,"Never Fall for a Dragon (Mate Mountain, #1)",Lola Glass,3.94,2024.0,"Fantasy, Romance, Dragons",2
895,The Day the Crayons Quit,Drew Daywalt,4.42,2013.0,"Picture Books, Childrens, Fiction",2
896,The Sacred Well Murders (Mary Wandwalker #1),Susan  Rowland,4.29,2022.0,"Mystery, Fiction, Contemporary",2
897,Eleanor & Park,Rainbow Rowell,3.93,2012.0,"Young Adult, Romance, Fiction",2
898,Columbine,Dave Cullen,4.29,2009.0,"Nonfiction, True Crime, History",0
899,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,4.67,2010.0,"Fantasy, Fiction, Epic Fantasy",2
900,"Risen (The Boy in the Iron Box, #4)",Guillermo del Toro,4.03,2024.0,"Horror, Fiction, Short Stories",2
901,The Pearl,John Steinbeck,3.55,1947.0,"Fiction, Literature, School",2
902,"Unwind (Unwind, #1)",Neal Shusterman,4.17,2007.0,"Young Adult, Dystopia, Science Fiction",2
903,Steve Jobs,Walter Isaacson,4.15,2011.0,"Biography, Nonfiction, Business",0
904,The Artifact,David Collins,4.28,2024.0,"Science Fiction, Science Fiction Fantasy, Speculative Fiction",2
905,"Engines of Oblivion (The Memory War, #2)",Karen Osborne,4.02,2021.0,"Science Fiction, Young Adult, Space",2
906,"I, Claudius (Claudius, #1)",Robert Graves,4.25,1934.0,"Historical Fiction, Fiction, Classics",2
907,Lust for Life,Irving Stone,4.27,1934.0,"Historical Fiction, Art, Fiction",2
908,Zorba the Greek,Nikos Kazantzakis,4.04,1946.0,"Fiction, Classics, Philosophy",2
909,"Trials of Conviction (The Firebird Chronicles, #5)",T.A. White,4.52,2023.0,"Science Fiction, Romance, Fantasy",2
910,Found,Erin Kinsley,4.11,2019.0,"Mystery, Thriller, Fiction",2
911,"Matching Configurations (Quantum Roots, #3)",Kyle Keyes,4.3,2019.0,"Fiction, Novels, Science Fiction",2
912,Momo,Michael Ende,4.34,1973.0,"Fantasy, Fiction, Classics",2
913,The Bad Seed (The Food Group #1),Jory John,4.33,2017.0,"Picture Books, Childrens, Fiction",2
914,Coraline,Neil Gaiman,4.13,2002.0,"Fantasy, Horror, Fiction",2
916,The Orphanage By The Lake,Daniel G.  Miller,3.95,2024.0,"Thriller, Mystery, Mystery Thriller",2
917,"Animal, Vegetable, Miracle: A Year of Food Life",Barbara Kingsolver,4.05,2007.0,"Nonfiction, Food, Memoir",0
918,The Joy of Cooking,Irma S. Rombauer,4.13,1931.0,"Cookbooks, Cooking, Food",1
919,Winter Garden,Kristin Hannah,4.28,2010.0,"Historical Fiction, Fiction, Historical",2
920,Becoming,Michelle Obama,4.44,2018.0,"Nonfiction, Memoir, Biography",0
921,The Invisible Boy,Trudy Ludwig,4.43,2013.0,"Picture Books, Childrens, Friendship",2
922,The Ocean at the End of the Lane,Neil Gaiman,4.02,2013.0,"Fantasy, Fiction, Magical Realism",2
923,On Destiny,Aileen Erin,4.2,2022.0,"Science Fiction Fantasy, Science Fiction, Fiction",2
924,We,Yevgeny Zamyatin,3.88,1924.0,"Fiction, Science Fiction, Classics",2
925,"A Witch's Guide to Fake Dating a Demon (Glimmer Falls, #1)",Sarah  Hawley,3.64,2023.0,"Romance, Fantasy, Paranormal",2
926,Papillon,Henri Charrière,4.23,1969.0,"Nonfiction, Biography, Classics",0
927,The Tin Drum,Günter Grass,3.95,1959.0,"Fiction, Classics, German Literature",2
928,"Romancing Mister Bridgerton (Bridgertons, #4)",Julia Quinn,3.88,2002.0,"Historical Romance, Historical Fiction, Historical",2
929,"Hunt the Stars (Starlight's Shadow, #1)",Jessie Mihalik,4.03,2022.0,"Romance, Science Fiction, Fantasy",2
930,The Echo of Old Books,Barbara  Davis,4.27,2023.0,"Historical Fiction, Fiction, Romance",2
931,Service Model,Adrian Tchaikovsky,4.05,2024.0,"Science Fiction, Fiction, Audiobook",2
932,Jonathan Strange & Mr Norrell,Susanna Clarke,3.87,2004.0,"Fantasy, Fiction, Historical Fiction",2
933,"Ice Planet Barbarians (Ice Planet Barbarians, #1)",Ruby Dixon,3.63,2015.0,"Romance, Science Fiction, Fantasy",2
934,John Adams,David McCullough,4.08,2001.0,"History, Biography, Nonfiction",0
935,Les Fleurs du Mal,Charles Baudelaire,4.2,1857.0,"France, Poetry, French Literature",2
936,The Runaway Bunny,Margaret Wise Brown,4.09,1942.0,"Picture Books, Childrens, Fiction",2
937,The Hobbit,Chuck Dixon,4.51,1989.0,"Fantasy, Graphic Novels, Classics",2
938,Secrets of the Realm,Bev Stout,3.97,2013.0,"Historical Fiction, Young Adult, Historical",2
939,Burned Out,Dean Mafako,4.3,2023.0,"Fiction, Medicine, Medical",2
940,The Night Before Christmas,Clement Clarke Moore,4.4,1823.0,"Christmas, Childrens, Picture Books",2
941,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,4.17,2005.0,"Fantasy, Fiction, Epic Fantasy",2
942,Little Blue Truck,Alice Schertle,4.51,2008.0,"Picture Books, Childrens, Fiction",2
943,"Compulsory (The Murderbot Diaries, #0.5)",Martha Wells,4.32,2018.0,"Science Fiction, Short Stories, Fiction",2
944,The Man in the High Castle,Philip K. Dick,3.59,1962.0,"Science Fiction, Fiction, Classics",2
945,Black Hawk Down: A Story of Modern War,Mark Bowden,4.3,1999.0,"History, Nonfiction, Military Fiction",0
946,"Dark Horse (Class 5, #1)",Michelle Diener,4.09,2015.0,"Science Fiction, Romance, Aliens",2
947,"The Bourne Identity (Jason Bourne, #1)",Robert Ludlum,4.05,1980.0,"Fiction, Thriller, Mystery",2
948,Not Till We Are Lost (Bobiverse #5),Dennis E. Taylor,4.3,2024.0,"Science Fiction, Audiobook, Fiction",2
949,The Magus,John Fowles,4.05,1965.0,"Fiction, Fantasy, Mystery",2
950,"Dark Island (Orkney Mysteries, #1)",Daniel Aubrey,4.13,2024.0,"Mystery, Crime, Thriller",2
951,"Starsight (Skyward, #2)",Brandon Sanderson,4.35,2019.0,"Science Fiction, Young Adult, Fantasy",2
952,"Quantum Roots (Quantum Roots, #1)",Kyle Keyes,4.27,2012.0,"Fiction, Science Fiction, Contemporary",2
953,"Book of Mormon, Doctrine and Covenants, Pearl of Great Price",The Church of Jesus Christ of Latter-day Saints,4.36,1950.0,"Religion, Nonfiction, Lds",2
954,Soul Cure: How to Heal Your Pain and Discover Your Purpose,Gregory Dickow,3.55,2022.0,"Self Help, Nonfiction, Personal Development",2
955,Antarctica Station,A.G. Riddle,3.99,2024.0,"Science Fiction, Fiction, Adventure",2
956,His Forefathers and Mick 2nd Edition,Michael G. Kramer,4.36,2024.0,"Drama, Novels, Contemporary",2
957,Move to Millions: The Proven Framework to Become a Million Dollar CEO with Grace & Ease Instead of Hustle & Grind,Darnyelle Jervey Harmon,4.29,2023.0,"Self Help, Personal Development, Nonfiction",2
958,Nineteen Minutes,Jodi Picoult,4.17,2007.0,"Fiction, Contemporary, Drama",2
959,Livesuit (The Captive’s War #1.5),James S.A. Corey,4.34,2024.0,"Science Fiction, Fiction, Audiobook",2
960,The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Oliver Sacks,4.05,1985.0,"Nonfiction, Psychology, Science",2
961,"Hyperion (Hyperion Cantos, #1)",Dan Simmons,4.27,1989.0,"Science Fiction, Fiction, Fantasy",2
962,"Half a Soul (Regency Faerie Tales, #1)",Olivia Atwater,4.07,2020.0,"Fantasy, Romance, Historical Fiction",2
963,Educated,Tara Westover,4.47,2018.0,"Nonfiction, Memoir, Biography",0
964,Motive Black: A novel (Motive Black Series Book 1),Adam Scott Huerta,4.34,2024.0,"Novels, Drama, Contemporary",2
965,The Vagina Monologues,V (formerly Eve Ensler),3.87,1996.0,"Feminism, Nonfiction, Plays",2
966,Where the Crawdads Sing,Delia Owens,4.38,2018.0,"Fiction, Historical Fiction, Mystery",2
967,"Polaris Rising (Consortium Rebellion, #1)",Jessie Mihalik,3.92,2019.0,"Romance, Science Fiction, Space Opera",2
968,"Good Girl, Bad Blood (A Good Girl's Guide to Murder, #2)",Holly  Jackson,4.27,2020.0,"Mystery, Young Adult, Thriller",2
969,"The Most Magnificent Thing (Most Magnificent, 1)",Ashley Spires,4.29,2014.0,"Picture Books, Childrens, Fiction",2
970,The Going To Bed Book,Sandra Boynton,4.24,1982.0,"Picture Books, Childrens, Fiction",2
971,The Pink Cadillac,Rebecca Harlem,4.47,2024.0,"Contemporary, Novels, Drama",2
972,The Dot,Peter H. Reynolds,4.26,2003.0,"Picture Books, Art, Childrens",2
973,One More Life to Live (Edward and the Bricklayer Book 1),Steven Decker,4.38,2024.0,"Novels, Contemporary, Drama",2
974,"AI Doctor: The Rise of Artificial Intelligence in Healthcare - A Guide for Users, Buyers, Builders, and Investors",Ronald M. Razmi,4.27,2024.0,"Nonfiction, How To, Education",0
975,For the Love of Armin,Michael G. Kramer,4.3,2015.0,"Fiction, Adventure, Historical Fiction",2
976,I Am Legend and Other Stories,Richard Matheson,4.0,1954.0,"Horror, Fiction, Science Fiction",2
977,"The Asset (Lance Spector, #1)",Saul Herzog,4.29,2020.0,"Thriller, Fiction, Espionage",2
978,My Big Fat Zombie Goldfish,Mo O'Hara,3.89,2013.0,"Childrens, Fiction, Humor",2
979,The Curious Secrets of Yesterday,Namrata  Patel,3.99,2024.0,"Fiction, Contemporary, Romance",2
980,Revolutionary Road,Richard Yates,3.93,1961.0,"Fiction, Classics, Historical Fiction",2
981,The Death of Ivan Ilych,Leo Tolstoy,4.13,1886.0,"Classics, Fiction, Russia",2
982,An Accidental Goddess,Linnea Sinclair,4.03,2002.0,"Romance, Science Fiction, Science Fiction Romance",2
983,The House of Mirth,Edith Wharton,3.97,1905.0,"Fiction, Classics, Historical Fiction",2
984,Paradox Effect: Time Travel and Purified DNA Merge to Halt the Collapse of Human Existence,Gabriel F.W. Koch,4.33,2015.0,"Fiction, Science Fiction, Time Travel",2
985,Bleak House,Charles Dickens,4.02,1853.0,"Fiction, Classics, Literature",2
986,The Cases Nobody Wanted (O'Shaughnessy Investigations Inc. Mystery Series Book 1),A.G. Russo,4.36,2023.0,"Contemporary, Drama, Novels",2
987,The World Without Us,Alan Weisman,3.81,2007.0,"Nonfiction, Science, Environment",2
988,The Tale of Despereaux,Kate DiCamillo,4.07,2003.0,"Fantasy, Fiction, Childrens",2
989,Start with Why: How Great Leaders Inspire Everyone to Take Action,Simon Sinek,4.1,2009.0,"Business, Leadership, Nonfiction",2
990,The Hours,Michael Cunningham,3.95,1998.0,"Fiction, Historical Fiction, Contemporary",2
991,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.03,2010.0,"Nonfiction, Christian, Religion",2
992,Geek Love,Katherine Dunn,3.95,1989.0,"Fiction, Horror, Fantasy",2
993,Magenta,John Payton Foden,4.26,2021.0,"Historical Fiction, Fiction, War",2
994,The Southern Lawyer (Joe Hennessy Legal Thriller #1),Peter O'Mahoney,4.22,2022.0,"Mystery, Fiction, Thriller",2
995,"A Canticle for Leibowitz (St. Leibowitz, #1)",Walter M. Miller Jr.,3.99,1959.0,"Science Fiction, Fiction, Post Apocalyptic",2
996,"Executive Orders (Jack Ryan, #8)",Tom Clancy,4.11,1996.0,"Fiction, Thriller, Military Fiction",2
997,"Mistborn: The Final Empire (Mistborn, #1)",Brandon Sanderson,4.49,2006.0,"Fantasy, Fiction, High Fantasy",2
998,"Graceling (Graceling Realm, #1)",Kristin Cashore,4.07,2008.0,"Fantasy, Young Adult, Romance",2
999,"The Time Trilogy (Time Quintet, #1-3)",Madeleine L'Engle,4.31,1963.0,"Fantasy, Fiction, Classics",2
